lp ---	kod	nazwa	grupa	dostawca	iloúÊ	cena netto	cena zakupu	[-OPAKOWANIE]	[-WAGA-JEDNOSTKOWA]	[-WAGA-OPAKOWANIA]	[-INDEKS-DOSTAWCY]	[-PLIK-FOTO]
140	5905279959507	NEPOMUCEN HEALER	IPA	NEPOMUCEN		5,39	4,20	17-10-12				
141	5905279959385	NEPOMUCEN HOLE	IPA	NEPOMUCEN	51	5,98	4,65	Black India Pale Ale - Ciemna wersja popularnego stylu India Pale Ale. Piwo o umiarkowanej s≥odowoúci, lekkich smakach kawowo czekoladowych oraz bogatym aromacie pochodzπcym od chmielu Citra i Chinook.	6,3 g	16,5 g	Black IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\hole.jpg 
142	5905279959453	NEPOMUCEN HOOK TROPICAL STOUT	STOUT	NEPOMUCEN		5,39	4,20					
143	5905279959576	NEPOMUCEN HOPPY	INNE	NEPOMUCEN		5,39	4,20	17-11-15				
144	5905279959484	NEPOMUCEN KAMO 	LAGER	NEPOMUCEN		5,25	4,20	17-08-08				
145	5905279959118	NEPOMUCEN KOèLAK	INNE	NEPOMUCEN		5,52	4,30					
146	5905279959392	NEPOMUCEN KURT	INNE	NEPOMUCEN		5,39	4,20	17-10-24				
147	5905279959101	NEPOMUCEN LABIRYTM 	APA	NEPOMUCEN	13	5,39	4,20	Piwo w stylu American Pale Ale, uwarzone we wspÛ≥pracy z cz≥onkami milickiego zespo≥u Labirytm, zdobywcami wielu nagrÛd muzycznych w ca≥ym kraju. Fanami dobrej muzyki i dobrego piwa.	4,8 g	12,1 g	APA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\LABIRYTM.jpg 
148	5905279959279	NEPOMUCEN LAZY BARRY	INNE	NEPOMUCEN	20	5,39	4,20	Piwo w stylu Grodziskim, w tej interpretacji chmielone amerykaÒskimi odmianami chmielu. Uwarzone w kooperacji z browarem AleBrowar.	3,4 g	9,9 g	American Grodziskie	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\LAZY-BARRY.jpg 
149	5905279959095	NEPOMUCEN MIAMI 	LAGER	NEPOMUCEN	39	5,52	4,30	Welcome to Miami! AmerykaÒski chmiel w klasycznym lagerze to zaskakujπce zestawienie. SprÛbuj jasnego piwa dolnej fermentacji w nowofalowej ods≥onie. Daj siÍ zaskoczyÊ!	4,6 g	12,4 g	American Lager	
150	5905279959286	NEPOMUCEN MILO	WHEAT	NEPOMUCEN	38	4,81	3,75	Nasi zachodni sπsiedzi majπ wiele klasykÛw, ktÛre opanowa≥y ca≥y úwiat - sznycle, wursty i kartofel salad. My jednak wierzymy, øe najwiÍkszy ich skarb to lekki i orzeüwiajπcy heffeweizen.	4,9 g	12,4 g	Heffeweizen	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\milo.jpg 
151	5905279959019	NEPOMUCEN MIST	IPA	NEPOMUCEN		5,45	4,20	17-08-03				
152	5905279959545	NEPOMUCEN MOJO	APA	NEPOMUCEN		5,39	4,20	17-10-21				
153	5905279959316	NEPOMUCEN NACHMIELONA	FREE	NEPOMUCEN	89	3,31	2,60	Bezalkoholowy napÛj chmielowy, 40 IBU			Bezalkoholowe	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\woda.jpg 
154	5905279959552	NEPOMUCEN NACHMIELONA OWOCOWA	FREE	NEPOMUCEN	50	3,44	2,70	Nachmielona wzbogacona o sok cytrynowy i sok jab≥kowy. Nadal BEZ DODATKU CUKRU!!!			Bezalkoholowe	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\nachmielona owocowa.png 
155	5905279959620	NEPOMUCEN NEBIR	IPA	NEPOMUCEN		5,59	4,35	Nepomucen i Birbant po≥πczy≥y style weizen oraz IPA w wersji tropikalnej... czyli zmiksowa≥y duøπ iloúÊ úwieøych owocÛw ananasa oraz mango. Powsta≥a odjechana mieszanka - nie tylko na lato!	5,9 g	15,4 g	Tropical Weizen IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\nebir.jpg 
156	5905279959262	NEPOMUCEN OLDIE	INNE	NEPOMUCEN	28	5,65	4,40	Piwo w stylu Old Ale ≥πczπce karmelowe aromaty z torfowπ g≥Íbiπ. Uwarzone z dodatkiem p≥atkÛw dÍbowych.	6,4 g	16,9 g	Old Ale	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\oldie.jpg 
157	5905279959224	NEPOMUCEN PALE ALE 	APA	NEPOMUCEN	51	5,78	4,50	American Pale Ale - jasne piwo gÛrnej fermentacji, chmielone amerykaÒskimi odmianami chmielu dajπce piwu aromaty øywiczne i cytrusowe	4,8 g	12 g	Pale Ale	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\pale.jpg 
158	5905279959477	NEPOMUCEN PLUM 	STOUT	NEPOMUCEN			4,20	17-09-13				
159	5905279959200	NEPOMUCEN POOKA 	INNE	NEPOMUCEN		5,39	4,20	17-09-14				
160	5905279959668	NEPOMUCEN PYRIZE	WHEAT	NEPOMUCEN	1	5,39	4,20	American Wheat autorstwa Wojciecha Gaska, ktÛre zwyciÍøy≥o w PoznaÒskim Konkursie Piw Domowych	5,3 g	14 g	American Wheet	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\pyrize.jpg 
161	5905279959132	NEPOMUCEN RABBIT 	IPA	NEPOMUCEN		5,91	4,60	17-09-09				
162	5905279959323	NEPOMUCEN RANGE	APA	NEPOMUCEN	57	5,39	4,20	Jasne piwo gÛrnej fermentacji w stylu American Pale Ale, leøakowane ze úwieøymi skÛrkami pomaraÒczy.	5 g	12 g	Orange Pale Ale	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\nepomucen\range.jpg 
163	5905279959538	NEPOMUCEN ROAD	IPA	NEPOMUCEN		5,91	4,60	17-10-06/18-01-09				
164	5905279959569	NEPOMUCEN SMOKED APPLE	INNE	NEPOMUCEN		5,39	4,20	17-10-24				
165	5905279959170	NEPOMUCEN SOLID	PORTER	NEPOMUCEN		5,39	4,20	17-10-25 / 17-11-25				
166	5901549250985	NOTECKIE BURSZTYNOWE	LAGER	CZARNK”W		3,64	3,03					
167	5901549250961	NOTECKIE CIEMNE	LAGER	CZARNK”W		3,83	3,15					
168	5901549250794	NOTECKIE IMBIROWE	LAGER	CZARNK”W		3,83	3,15					
169	5901549250954	NOTECKIE JASNE	LAGER	CZARNK”W		3,51	2,90					
170	5904730961417	NOTECKIE PILS	LAGER	CZARNK”W		3,38	2,80					
171	5903292264332	PERUN DESITKA	LAGER	PERUN		4,13	3,30	17-07-22				
172	5903292264233	PERUN Dziedzictwo LUBELSKI	APA	PERUN		5,19	4,15	17-09-08				
173	5903292264172	PERUN Dziedzictwo Marynka	LAGER	PERUN		5,33	4,15	17-05-27				
174	5903292264295	PERUN Dziedzictwo POLISH IPA	IPA	PERUN		5,94	4,75	17-04-05				
175	5903292264356	PERUN FENIX	WHEAT	PERUN		5,-	4,-	17-10-30				
176	5903292264004	PERUN Jasny Grom	APA	PERUN		5,19	4,15	17-08-09				
177	5903292264219	PERUN Kraina WELESA	STOUT	PERUN		7,38	5,90	18-01-13				
178	5903292264066	PERUN ORZECHOWY GAJ	PORTER	PERUN		5,19	4,15	17-05-25				
179	5903292264141	PERUN PROFANUM	IPA	PERUN		6,38	5,10	17-10-24				
180	5906395497737	PIASECZY—SKIE APA	APA	BEERLAB	7	4,48	3,47	Piwo o rzeúkim cytrusowym aromacie z wyraünymi nutami s≥odowymi, stworzone na bazie starannie dobranych amerykaÒskich chmieli.	5,1 g	12 g	APA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\beerlab\APA.png 
181	5906395497355	PIASECZY—SKIE CIEMNY LAGER	LAGER	BEERLAB	13	4,48	3,47	Delikatnie zaakcentowana palonoúÊ, subtelnie podkreúlony aromat chmielu z dostrzegalnym posmakiem kawowo-czekoladowym	5,5 g	13 g	Ciemny Lager	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\beerlab\Ciemny Lager.png 
182	5906395497577	PIASECZY—SKIE JASNY PILS	LAGER	BEERLAB	18	4,22	3,27	Klasyczny pils z charakterystycznπ s≥odowoúciπ; w aromacie dominujπ nuty kwiatowo-korzenne.	5 g	12 g	Pils	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\beerlab\Jasny PIls.png 
183	5906395497492	PIASECZY—SKIE LEåNY LAGER	LAGER	BEERLAB	16	4,48	3,47	Klasyczny lager, niepowtarzalny smak zawdziÍcza dodatkom soku z rokitnika oraz naturalnego aromatu ja≥owca;	5 g	12 g		C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\beerlab\Leúny Lager.png 
184	5906395497782	PIASECZY—SKIE POLSKIE ØYTO	LAGER	BEERLAB	9	4,48	3,47	Piwo o intensywnej bursztynowo-herbacianej barwie, warzone na bazie trzech polskich s≥odÛw i trzech odmian rodzimego chmielu o charaktery¨stycznym przyprawowo-chlebowym aromacie.	5,1 g	12 g	Øytni Lager	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\beerlab\polskie øyto.png 
185	5906395497805	PIASECZY—SKIE PSZENICZNE	WHEAT	BEERLAB	18	4,48	3,47	Klasyczne piwo pszeniczne o aksamitnej i kremowej strukturze, z wyraünym aromatem bananÛw i goüdzikÛw z delikatnie zaakcentowanπ goryczkπ.	4,9 g	12 g		C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\beerlab\pszeniczne.png 
186	5906660322085	PIEKARNIA AMERYKAWKA	APA	PIEKARNIA PIWA		6,24	4,84	17-07-15 / 17-09-30 				
187	5906660322092	PIEKARNIA COFFEE TWIST	STOUT	PIEKARNIA PIWA			7,04	17-07-15				
188	5906660322016	PIEKARNIA DIOBLINA	WHEAT	PIEKARNIA PIWA		4,61	3,60	17-06-15				
189	5906660322030	PIEKARNIA FURMAN	WHEAT	PIEKARNIA PIWA		4,61	3,60	17-09-18				
190	5906660322023	PIEKARNIA MOCNA G”RA	IPA	PIEKARNIA PIWA		6,04	4,70	17-07-15 / 17-09-30				
191	5906660322009	PIEKARNIA NIEZDARA	INNE - BELGIAN ALE	PIEKARNIA PIWA		4,61	3,60	17-07-15 / 17-09-30				
192	5906660322047	PIEKARNIA ØNIWIARKA	INNE	PIEKARNIA PIWA		5,13	4,-	17-09-30 / 17-09-15				
193	8034013020658	PINTA & AMARCORD BA£TYK ADRIATICO	PORTER	PINTA		8,75	7,-	18-01-09				
194	5904730430887	PINTA A JA PALE ALE	APA	PINTA		5,07	4,07	18-03-22				
195	5904730438100	PINTA AMERICAN BLACK	STOUT	PINTA		5,39	4,31	18-02-04				
196	5905331025980	PINTA ANGIELSKIE åNIADANIE	INNE	PINTA	17	5,-	3,92	pe≥ne angielskiego s≥odu i chmielu extra-tradycyjne piwo w stylu Extra Special Bitter (ESB). Potrzebujesz czegoú poøywnego? PINTA Angielskie åniadanie to wyjπtkowo soczyste i solidne piwo na specjalne okazje. Angielskie ingrediencje: jÍczmieÒ odmiany Maris Otter i wielka iloúÊ chmielu East Kent Golding to baza naszego specja≥u. SpoøywaÊ na zimno, najlepiej w weekendy! 	5,3 g	14 g		C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Angielskie åniadanie.jpg 
197	5905331025218	PINTA APETYT NA ØYCIE	INNE	PINTA		5,-	3,92					
198	5905331025782	PINTA ATAK CHMIELU	IPA	PINTA		5,-	3,92	Atak Chmielu 15,1∞ to fantazyjnie nachmielone piwo w stylu American India Pale Ale. Czerwono-miedziane, treúciwe, ze smakiem i aromatem cytrusowym, kwiatowym, øywicznym, sosnowym i owocowym, pochodzπcym od amerykaÒskiego chmielu. Uwarzone po raz pierwszy 28 marca 2011 r. - to pierwsze AIPA warzone komercyjnie w Polsce. Tak siÍ zaczÍ≥a polska rewolucja piwna.	6,1 g	15,1 g	AIPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Atak Chmielu.jpg 
199	5905331026093	PINTA BAWARKA	WHEAT	PINTA		4,87	3,92	18-02-24				
200	5905331025621	PINTA BRETT IPA	IPA	PINTA		5,98	4,80	17-12-08				
201	5905331025959	PINTA DYMY MARCOWE	INNE	PINTA			3,92	17-12-28				
202	5905331025591	PINTA FARMHOUSE	APA	PINTA			4,41	17-12-24				
203	5905331025652	PINTA HAVANA STOUT	STOUT	PINTA	44	6,30	4,90	Havana Stout 16,5∞- mocniejsza i tropikalna wersja Stoutu czyli Foreign - w naszej wersji doprawiony nierafinowanym, brπzowym cukrem Muscovado oraz czystπ melasπ. Aromatyzowany w leøaku dÍbinπ macerowanπ w 80% rumie Stroh. Zacierany z uøyciem angielskich s≥odÛw. Chmielenie po angielsku z uøyciem odmian Flyer, East Kent Golding i Fuggles. PINTA Havana Stout - ciemno, mocno, aromatycznie!	6,6 g	16,5 g	Tropical Foreign Extra Stout	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Havana stout.jpg 
204	5904730438254	PINTA HOPBY	APA	PINTA		5,26	4,21	18-04-27				
205	5904730438179	PINTA HOPLAGA	LAGER	PINTA		5,51	4,41	18-01-10				
206	5905331025454	PINTA I'M SO HORNY 	LAGER	PINTA			4,85	18-01-10				
207	5905331025232	PINTA IMPERATOR BA£TYCKI	PORTER	PINTA		8,45	6,60					
208	5905331025638	PINTA IMPERATOR BA£TYCKI SHERRY OLOROSO BA	PORTER	PINTA	2	17,81	13,90					
209	5905331025928	PINTA IMPERIUM ATAKUJE	IPA	PINTA	17	6,30	4,90	Imperium Atakuje 19,1∞ - przepe≥nione chmielem, mocne piwo w stylu Imperial India Pale Ale. Nies≥ychane, bezkompromisowe ! PotÍøne piwo wype≥nione najlepszym s≥odem i chmielem po sufit. Imperializm PINTY w czystej postaci. Pierwsza Double IPA warzona w Polsce. Intensywnie chmielone na zimno (dry hopping) podczas leøakowania. 	7,8 g	19,1 g	Imperial IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Imperium Atakuje.jpg 
210	5904730438186	PINTA JUMBO	IPA	PINTA	1	6,17	4,80					
211	5905331025447	PINTA KR”L LATA	WHEAT	PINTA		5,39	4,31	18-04-26				
212	5905331025584	PINTA KWAS EPSILON	IPA	PINTA		5,98	4,80	18-03-28				
213	5905331026239	PINTA KWAS JOTA	INNE	PINTA	8	6,89	5,39	Kwas Jota ma barwÍ jasnego koktajlu jagodowego z rÛøowπ pianπ :-) Profil piwa zdominowany jest przez kombinacjÍ posmakÛw porzeczki oraz ziemisto-korzennego "funky". Smak jest ewidentnie kwaúny, a kwaúnoúÊ pochodzi zarÛwno od pracy bakterii (delikatny w smaku kwas mlekowy) jak i owocÛw (ostrzejszy kwas cytrynowy). Finisz cierpki i wytrawny jak przysta≥o na piwa dzikie z dodatkiem owocÛw	5,1 g	11,5 g	 Sour Wild Curranct Ale	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Kwas Jota.jpg 
214	5391500601589	PINTA LUBLIN TO DUBLIN	STOUT	PINTA	1	10,01	7,79					
215	5904730438162	PINTA MODERN DRINKING	IPA	PINTA	3	5,85	4,56	wszystko co wiemy na temat West Coast IPA. Podczas chmielobrania w Yakima (USA), piwowarzy z Portland powtarzali jednπ zasadÍ. Zastosowaliúmy jπ i do kot≥a warzelnego wpakowaliúmy niemi≥osiernπ iloúÊ aromatycznego chmielu Mosaicô - prawie w ca≥oúci podczas ostatnich 15 minut gotowania. Drugie tyle zuøyliúmy na intensywne chmielenie na zimno. PINTA Modern Drinking 15,5∞ - bπdü na czasie!	6,5 g	15,5 g		C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Modern Drinking.jpg 
216	5905331025171	PINTA OTO MATA IPA	IPA	PINTA		4,87	3,92	18-02-24				
217	5904730438049	PINTA PIERWSZA POMOC	LAGER	PINTA	16	3,96	3,10	Pierwsza Pomoc 10,5∞ - Pierwsza pomoc powszednia - co byú bez niej zrobi≥?! Do úniadania, do obiadu, do kolacji. Nie øa≥owaliúmy dobrego s≥odu, nie øa≥owaliúmy dobrego chmielu. PINTA Pierwsza Pomoc orzeüwia, syci, przywraca humor. Polecamy do uøytku codziennego.	4,2 g	10,5 g	Pils	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Pierwsza Pomoc.jpg 
218	5905331025324	PINTA RAJ Z RAJS	IPA	PINTA		6,24	4,85					
219	5905331026314	PINTA RISFACTOR	STOUT	PINTA		9,42	7,35	RISFACTOR 30∞ - ponad tona chlebowego i ciastkowego s≥odu bazowego na warkÍ. Ponad ÊwierÊ tony najlepszych, angielskich s≥odÛw palonych. Kilka miesiÍcy leøakowania w niskich temperaturach. W efekcie powsta≥ klasyczny, czarny jak noc Imperialny Stout o gÍstej konsystencji i aromacie czekolady, kakao, belgijskich pralin i cukierkÛw toffi. 	11,5 g	30 g	RIS	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\RISFACTOR.jpg 
220	5904730438094	PINTA SANRAJZA	WHEAT	PINTA			3,92	18-01-20				
221	5905331025461	PINTA SON OF A BIRCH	WHEAT	PINTA	11	5,65	4,41	 lekkie piwo pszeniczne wyrabiane z uøyciem soku z brzozy (zawartoúÊ soku z brzozy to ok.50% w gotowym piwie). Uwarzone po raz pierwszy w sierpniu 2014 r. specjalnie na pierwszπ edycjÍ Beer Geek Madness. "Osko≥a" to stara s≥owiaÒska nazwa soku z brzozy. Sok pozyskiwany jest wiosnπ bezpoúrednio z pnia drzew. By≥ powszechnie spoøywany do koÒca XIX w., czÍsto utrwalany za pomocπ fermentacji jako piwo lub wino brzozowe - m.in. w Polsce, Rosji i w Szwecji. WspÛ≥czeúnie sok z brzozy ceniony jest za nadzwyczajne w≥aúciwoúci oczyszczajπce organizm - np. z nadmiaru konserwantÛw zawartych w øywnoúci.	3 g	9 g	Birch Wheat 	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\pinta-son-of-a-birch.jpg 
222	5904730438247	PINTA SOUTH AFRICA 	APA	PINTA		5,98	4,80	18-05-01				
223	5905331025966	PINTA STARE ALE JARE	INNE	PINTA	26	5,-	3,92	Stare ALE jare 14,0∞ - solidna dawka s≥odowej treúci skontrowana obfitym chmielem - oto Sticke - sezonowa odmiana stylu Altbier. W D¸sseldorfie - w PÛ≥nocnej Nadrenii Westfalii Ñod zawszeî warzπ Stare Piwo - Altbier. To miedziane, pe≥nos≥odowe piwo gÛrnej fermentacji raz w roku gotowane jest w mocniejszej i odwaøniej chmielonej wersji, zwanej Sticke. W lokalnym dialekcie ÑStickeî to ÑTajemnicaî. Specjalnie dla Was, PINTA Stare ALE jare odkrywa tajemnicÍ piwowarÛw z D¸sseldorfu. 	5 g	14 g	Altbier	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Stare ALE Jare.jpg 
224	5904730438230	PINTA TEA APA	APA	PINTA		5,98	4,80	18-03-28				
225	5904730438223	PINTA VERMONT IPA	IPA	PINTA	1	6,30	4,90	Vermont IPA 15,5∞ - delikatniejsza w odbiorze, bardziej soczysta w smaku i bardziej chmielowa w aromacie wersjπ klasycznego American IPA. Oryginalnie warzone w stanie Vermont, w pÛ≥nocno-wschodniej czÍúci USA zwanej Nowπ Angliπ - mia≥a byÊ odpowiedziπ na ciÍøkie i delikatnie chmielone East Coast IPA. Fermentacja angielskim szczepem droødøy pozwala wzbogaciÊ chmielowy profil piwa o aromaty owocowych estrÛw tj. morele, gruszki czy brzoskwinie. KrÛtki okres leøakowania oraz kilkukrotne chmielenie na zimno sprawiajπ, øe gotowe piwo jest mÍtne, pe≥niejsze w odbiorze, bardziej owocowe i zbalansowane.	6,1 g	15,5 g	AIPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\pinta\Vermont IPA.jpg 
226	5905331025935	PINTA VIVA LA WITA	WHEAT	PINTA			4,31	18-01-21				
227	5904730438193	PINTA/TANKER ALL RYED	LAGER	PINTA		5,52	4,41	18-03-19				
228	5905669428194	PIWOTEKA BORUTA	INNE - BELGIAN ALE	PIWOTEKA		6,0250	4,82	17-06-07				
229	5905669428187	PIWOTEKA CENTENNIAL BLUES	APA	PIWOTEKA		5,4625	4,37	17-05-23				
230	5905669428033	PIWOTEKA KAPRAL BROWN	PORTER	PIWOTEKA		5,80	4,64	17-07-09				
231	5905669428330	PIWOTEKA LIMONKA HOOLIGANS	APA	PIWOTEKA		5,80	4,64	17-05-07				
232	5905669428071	PIWOTEKA TADEK	INNE - AMERICAN BOCK	PIWOTEKA		6,43	5,15	17-05-27				
233	5905669428125	PIWOTEKA ZACNY ZALCMAN	WHEAT	PIWOTEKA		5,4375	4,35	17-06-06				
234	5904730658010	PROFESJA BARD	APA	PROFESJA		5,65	4,39	17-11-14				
235	5904730658195	PROFESJA BASISTA	INNE	PROFESJA		5,65	4,39	17-11-10 				
236	5904730658263	PROFESJA BIMBROWNIK	IPA	PROFESJA		5,91	4,61	17-07-10				
237	5904730658133	PROFESJA CYRULIK	INNE	PROFESJA		5,91	4,61	17-09-30				
238	5904730658287	PROFESJA DUDZIARZ	INNE	PROFESJA		6,89	5,37	18-02-28				
239	5904730658379	PROFESJA KARDYNA£	APA	PROFESJA		5,65	4,39	17-11-10				
240	5904730658072	PROFESJA M£YNARZ	WHEAT	PROFESJA		5,63	4,39	17-07-31				
241	5904730658249	PROFESJA OBIEØYåWIAT	IPA	PROFESJA		6,11	4,75	17-09-30				
242	5904730658140	PROFESJA PIELGRZYM	INNE	PROFESJA		6,11	4,76	17-09-30				
243	5904730658232	PROFESJA RATOWNIK	APA	PROFESJA		5,99	4,67	17-08-31				
244	5904730658362	PROFESJA SUBIEKT	APA	PROFESJA		5,65	4,39	17-11-10				
245	5904730658119	PROFESJA ØNIWIARZ	WHEAT	PROFESJA		5,13	4,02	17-08-14				
246	0428839327004	PROMO	ZZ	ZZ			0,01					
247	BRAK	PROMO	INNE	BEERLAB	337	2,53	2,-					
248	5907431705335	RADUGA 2028 SPACE ODYSSEY 0,33L	STOUT	RADUGA		8,1250	6,50	19-02-01				D:\Users\mic\Desktop\Space-Odyssey.png 
249	5907431705076	RADUGA APARTMENT	IPA	RADUGA		5,25	4,20	17-07-06				
250	5907431705366	RADUGA CIRCUS	IPA	RADUGA		5,78	4,60	18-01-30				
251	5907431705311	RADUGA CLOCKWORK ORANGE	IPA	RADUGA		5,25	4,20	17-07-30				
252	5907431705342	RADUGA DR JECKYLL	WHEAT	RADUGA		5,52	4,40	17-12-30				
253	5907431705328	RADUGA KASSIOPEYA	STOUT	RADUGA		5,25	4,20	17-08-30				
254	5902448150178	RADUGA LAST SUMMER	WHEAT	RADUGA		5,52	4,40	18-01-30				
255	5907431705182	RADUGA LIFT TO THE SCAFFOLD	IPA	RADUGA		5,52	4,40	17-11-30				
256	5907431705069	RADUGA LOST WEEKEND	IPA	RADUGA		5,45	4,20	17-05-01				
257	5907431705083	RADUGA METROPOLIS	IPA	RADUGA		5,65	4,50	17-06-15 / 18-01-31				
258	5907431705120	RADUGA NAKED CITY	IPA	RADUGA		5,75	4,60	17-08-21				
259	5907431705236	RADUGA SAMURAI REBELLION	IPA	RADUGA			4,40	17-08-23				
260	5907431705052	RADUGA SOME LIKE IT HOT	WHEAT	RADUGA		5,52	4,40	17-12-30				
261	5907431705113	RADUGA UNDERWATER	INNE	RADUGA			4,40	17-08-13				
262	5904730663434	RECRAFT BOURBON BOCK	INNE	RECRAFT	5	7,80	6,08	Leøakowane 10 miesiÍcy. 	8 g	19 g	Smoked Weizen Bourbon Doppelbock	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\recraft\bourbon.png 
263	5904730663670	RECRAFT BRETT PORTER	PORTER	RECRAFT	5	7,80	6,08	Leøakowane 11 miesiÍcy. 	7 g	15,5 g		C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\recraft\brett.png 
264	5904730663243	RECRAFT CH£OPSKIE LATO	INNE	RECRAFT		5,-	3,90	18-01-10				
265	5904730663052	RECRAFT FARMER	APA	RECRAFT		5,26	4,10	17-12-02				
266	5904730663588	RECRAFT FRUITBOOM	IPA	RECRAFT		5,78	4,50	18-02-21				
267	5904730663625	RECRAFT GIN IPA	IPA	RECRAFT		5,78	4,50	18-05-15				
268	5904730663144	RECRAFT KRZYØ PO£UDNIA	APA	RECRAFT		5,52	4,30	17-12-03/18-03-11				
269	5904730663151	RECRAFT MILCOFEEL	STOUT	RECRAFT		5,91	4,60	18-02-05				
270	5904730663038	RECRAFT MILKO£AK	STOUT	RECRAFT		5,65	4,40	17-12-04				
271	5904730663724	RECRAFT QUADRUPEL	INNE	RECRAFT		7,80	6,08					
272	5904730663564	RECRAFT QUINOA RICE IPA	IPA	RECRAFT		5,65	4,40	18-01-03				
273	5904730663700	RECRAFT STRONG ALE	INNE	RECRAFT	9	7,80	6,08	Leøakowane 11 miesiÍcy.	10 g	24 g	 Strong Ale	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\recraft\strong ale.png 
274	5904730663731A	RECRAFT SZTOSBOX 1	INNE	RECRAFT	1	22,04	17,17					
275	5904730663731	RECRAFT SZTOSBOX 3	INNE	RECRAFT	2	22,04	17,17					
276	5904730663717	RECRAFT WINTER ALE	INNE	RECRAFT	14	7,80	6,08	Leøakowane 14 miesiÍcy.	9 g	21 g	 Strong Ale	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\recraft\winter.png 
277	5906874027042	ROCKMILL COFFEECAT	STOUT	ROCKMILL		5,9375	4,75	17-08-10				
278	5906874027035	ROCKMILL JUICY DELIGHT	IPA	ROCKMILL		6,1875	4,95	17-05-10				
279	5906874027004	ROCKMILL PLAY FOR ME	APA	ROCKMILL		5,6250	4,50	17-11-08				
280	5905669629171	SBK ALTBIER	INNE	SBK	144	4,94	4,30	Piwo gÛrnej fermentacji, charakteryzujπce siÍ gorzkim smakiem i ciemno-bursztynowπ barwπ. Uwarzone wed≥ug receptury nawiπzujπcej do starej, niemieckiej tradycji warzenia piw gÛrnej fermentacji	5 g	12 g	Altbier	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\sbk\altbier.jpg 
281	5905669629072	SBK AMERICAN IPA	IPA	SBK	35	4,94	4,30	American IPA Piwo gÛrnej fermentacji, barwa ciemno-z≥ota, nienachalna goryczka, aromaty mango, melona oraz owocÛw leúnych.	6,4 g	16 g	AIPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\sbk\AIPA.png 
282	5905669629041	SBK CIEMNA DZIESI•TKA	LAGER	SBK	27	3,90	3,40	Aromatyczne piwo sesyjne o niskiej zawartoúci alkoholu, lekkie, o wyraünych nutach kawy, czekolady i suszonej úliwki.	3,9 g	11,8 g	Dunkel	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\sbk\Ciemna 10.png 
283	5905669629102	SBK FEELLEMON	APA	SBK		3,90	3,40	18-01-19				
284	5905669629089	SBK INDIA PALE ALE	IPA	SBK	41	4,94	4,30	Indian Pale Ale Piwo gÛrnej fermentacji, nienachalna goryczka gorzkiej pomaraÒczy, aromat pomaraÒczy, skÛrki cytryny, mango oraz trawy cytrynowej.	6,3 g	15 g	IPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\sbk\IPA.png 
285	5905669629188	SBK IRISH RED ALE	INNE	SBK		4,42	3,82					
